,Tensao,Ruido,sRuido,Violeta_20,sVioleta_20,Violeta_40,sVioleta_40,Violeta_60,sVioleta_60,Violeta_80,sVioleta_80,Violeta_100,sVioleta_100,Azul_20,sAzul_20,Azul_40,sAzul_40,Azul_60,sAzul_60,Azul_80,sAzul_80,Azul_100,sAzul_100,Verde_20,sVerde_20,Verde_40,sVerde_40,Verde_60,sVerde_60,Verde_80,sVerde_80,Verde_100,sVerde_100,Laranja_20,sLaranja_20,Laranja_40,sLaranja_40,Laranja_60,sLaranja_60,Laranja_80,sLaranja_80,Laranja_100,sLaranja_100,Vermelho_20,sVermelho_20,Vermelho_40,sVermelho_40,Vermelho_60,sVermelho_60,Vermelho_80,sVermelho_80,Vermelho_100,sVermelho_100
10,-4.5,-6.9547195e-11,1.177584448203182e-13,-6.8201108e-10,9.87941289530911e-13,-1.0130572000000002e-09,2.4892588447166387e-12,-1.1188777000000003e-09,4.718356531780955e-12,-1.2227606999999998e-09,5.888390026229585e-12,-1.3030146666666668e-09,2.114224680586237e-12,-8.418592499999998e-10,2.314047818142485e-12,-1.1048182000000002e-09,1.88580466538823e-12,-1.2200638000000002e-09,2.3667128038695312e-12,-1.3595172e-09,9.323748366402887e-13,-1.453776e-09,8.094381014012028e-13,-6.7278055e-10,1.7964924228200933e-12,-7.472410799999999e-10,1.4223077377136046e-12,-7.7368556e-10,1.3926262780229259e-12,-8.0803769e-10,2.790483246624147e-12,-8.3256935e-10,1.0286042115653585e-12,-1.04363413e-10,9.494541980098463e-12,-2.4757337e-10,4.51819302901171e-12,-2.8266612e-10,2.7806100484533954e-12,-3.0255069e-10,2.8364021948394415e-12,-3.0710727999999997e-10,2.917580070291132e-12,1.5662552699999998e-11,9.099515351010924e-12,-6.7969108e-11,1.8581315248624347e-12,-9.6427608e-11,2.319282694501384e-12,-2.8603242e-10,1.581978823613008e-12,-3.0213026e-10,2.103748667982941e-12
11,-4.45,-6.816923600000001e-11,1.1935591454301706e-13,-6.681355500000001e-10,1.002809442142427e-12,-9.9969625e-10,2.5730776368485307e-12,-1.1075170000000002e-09,7.801352269959347e-12,-1.2081835e-09,6.004381000985863e-12,-1.289091e-09,2.109371338679945e-12,-8.284580000000001e-10,2.614890167597865e-12,-1.0949905e-09,2.0064200270631264e-12,-1.2067568e-09,2.3368957477816565e-12,-1.3456959e-09,9.189043524763598e-13,-1.4382246999999999e-09,1.2201871335987879e-12,-6.6100684e-10,1.7388056170371598e-12,-7.3452421e-10,1.4410754202643263e-12,-7.6312061e-10,2.294059155970044e-12,-7.946518900000001e-10,2.478603318986319e-12,-8.197928899999999e-10,1.036075859042183e-12,-9.526164720000001e-11,9.498119101947829e-12,-2.3722363999999996e-10,4.649106404830932e-12,-2.7188226000000003e-10,2.7356688859289974e-12,-2.9235738e-10,2.9111583029371674e-12,-2.960673499999999e-10,2.6692611626909016e-12,2.3709716199999993e-11,9.32951041633149e-12,-5.8648481e-11,1.7912766817270022e-12,-8.734203000000001e-11,2.296471979605238e-12,-2.7627967000000003e-10,1.4113496632691714e-12,-2.9236569999999997e-10,1.6386219642126125e-12
12,-4.4,-6.670602e-11,1.5549438196925357e-13,-6.563573800000001e-10,9.069939268594955e-13,-9.8557331e-10,2.662392368846115e-12,-1.0966294e-09,1.0291838186835245e-11,-1.1942856e-09,6.044847760200409e-12,-1.2739476666666667e-09,2.0435228786474596e-12,-8.162144900000001e-10,2.59834633066687e-12,-1.0807052000000002e-09,1.4009631815290544e-12,-1.1925051000000001e-09,2.504551426702994e-12,-1.3317544000000002e-09,6.758518950184345e-13,-1.4243116e-09,1.345922599557653e-12,-6.504409500000001e-10,1.905133795314648e-12,-7.2227509e-10,1.1523079580954072e-12,-7.502607599999998e-10,2.7170977348707964e-12,-7.8241419e-10,2.390414879992594e-12,-8.062967599999998e-10,8.936458808946623e-13,-8.61244192e-11,9.084608709058599e-12,-2.2757887e-10,4.475674310873169e-12,-2.6114521e-10,2.8586647598642966e-12,-2.8171046e-10,2.68330184881239e-12,-2.8521096e-10,2.8309340066910775e-12,3.203481721999999e-11,9.18799358091938e-12,-4.999129500000001e-11,1.908985911671036e-12,-7.867747500000002e-11,2.415094981753409e-12,-2.6682925999999996e-10,1.6240727211673739e-12,-2.8219458e-10,2.0881179200801836e-12
13,-4.35,-6.554994399999999e-11,1.0190370123994517e-13,-6.4441698e-10,8.932627870677204e-13,-9.719188900000001e-10,2.9392408775209234e-12,-1.0839620999999999e-09,1.1542201160480623e-11,-1.1804867000000001e-09,6.004716606218816e-12,-1.2596763333333335e-09,2.330051434816169e-12,-8.0425271e-10,2.7256062728299514e-12,-1.0675465999999998e-09,1.2332082808674316e-12,-1.1791656e-09,2.3015973896405196e-12,-1.3192045000000001e-09,6.540908079158413e-13,-1.4098823e-09,1.5666955418970242e-12,-6.3937481e-10,1.6150360255084094e-12,-7.114043500000001e-10,1.001942480010704e-12,-7.364373000000001e-10,2.515605425896515e-12,-7.7088865e-10,2.1171889985662593e-12,-7.9419447e-10,7.835970834619058e-13,-7.66571549e-11,9.206944417188831e-12,-2.1756346e-10,4.339186587626762e-12,-2.5089837e-10,2.812361184451599e-12,-2.7101991999999997e-10,2.7565257608736395e-12,-2.7455405e-10,2.822636381691767e-12,4.037832810000001e-11,8.982062840802375e-12,-4.1335819e-11,1.776956908918418e-12,-7.0509878e-11,2.4367255758241632e-12,-2.5746530000000004e-10,1.4363134049364007e-12,-2.7105830000000007e-10,2.096366246627722e-12
14,-4.3,-6.428534600000001e-11,9.529302709222728e-14,-6.3208001e-10,8.153894454124377e-13,-9.6205878e-10,4.9634250534243e-12,-1.059091e-09,3.3682050353266764e-12,-1.1658493e-09,5.695152812787386e-12,-1.245568e-09,2.395485643176903e-12,-7.928344600000001e-10,2.5597210900096116e-12,-1.0550073e-09,1.3446992678662424e-12,-1.1664939000000002e-09,2.3545913125211334e-12,-1.3058643e-09,8.131064266133893e-13,-1.3968305e-09,1.675043284515361e-12,-6.268687500000001e-10,1.8551909622596843e-12,-6.976120600000001e-10,1.1988439930366236e-12,-7.253280799999999e-10,2.3922856338990966e-12,-7.588814299999999e-10,1.694427792858104e-12,-7.811155600000002e-10,8.501306177523569e-13,-6.733819300000001e-11,8.956064482899736e-12,-2.0667958e-10,4.4096568072538245e-12,-2.4071791e-10,2.7635981495669724e-12,-2.6061281000000005e-10,2.6980394970218624e-12,-2.6456584e-10,2.7552166624496136e-12,4.7660319000000003e-11,8.876855086884707e-12,-3.244110199999999e-11,1.84260506698359e-12,-6.0866101e-11,2.0834767543322624e-12,-2.4869661e-10,1.4651592822932264e-12,-2.6230537999999994e-10,1.8392897634576237e-12
15,-4.25,-6.306323100000001e-11,1.1163352754840222e-13,-6.1792939e-10,9.529223620474037e-13,-9.4864717e-10,5.319224079695268e-12,-1.0434581999999999e-09,3.0202370926799815e-12,-1.1512771e-09,5.877033897213796e-12,-1.2309734444444443e-09,2.327979362790886e-12,-7.810873400000001e-10,2.45959170645048e-12,-1.0421267999999998e-09,1.2528229388065994e-12,-1.1532779000000001e-09,2.292349094051779e-12,-1.2922674e-09,7.810094263195494e-13,-1.3828555e-09,1.3745259273654997e-12,-6.167108599999999e-10,1.811768599418816e-12,-6.856987600000001e-10,1.1627915466841032e-12,-7.1275713e-10,2.258998413680273e-12,-7.4634767e-10,1.8600633171507858e-12,-7.692826000000001e-10,5.954868156391039e-13,-5.8676138e-11,8.893681741480725e-12,-1.9602818e-10,4.573466528811597e-12,-2.2976528e-10,2.8543158021424324e-12,-2.4976938e-10,2.5796497389296844e-12,-2.535577e-10,2.7249340389447942e-12,5.5459032000000005e-11,8.967345854757783e-12,-2.2925203999999996e-11,1.855002047872292e-12,-5.2426973000000004e-11,2.0505365254845132e-12,-2.3986536000000003e-10,1.4746176546617107e-12,-2.5286533000000006e-10,9.430710558648282e-13
16,-4.2,-6.182128399999999e-11,1.6415922629081907e-13,-6.0633091e-10,6.22456603700209e-13,-9.3657945e-10,6.833733593918483e-12,-1.0286807e-09,2.673543618682894e-12,-1.136059e-09,5.895798442959202e-12,-1.2149429999999999e-09,2.455280327964375e-12,-7.6971896e-10,2.421494320092451e-12,-1.0295753999999999e-09,1.0236958161485357e-12,-1.1399035e-09,2.2254263647669984e-12,-1.2784753999999999e-09,5.339350185181676e-13,-1.3696805000000001e-09,1.2950767023616714e-12,-6.061412e-10,1.643518092446811e-12,-6.749853599999999e-10,1.116130381380247e-12,-7.007916999999999e-10,2.223543817557914e-12,-7.340816400000001e-10,1.4704330528249138e-12,-7.570792200000001e-10,8.137145815087695e-13,-4.8924365e-11,8.837071828241891e-12,-1.8618878000000002e-10,4.602961434680936e-12,-2.1962924e-10,2.9648680362943662e-12,-2.3906308e-10,2.5804926510184047e-12,-2.4248451999999995e-10,2.7222718712795724e-12,6.3232714e-11,8.927760101658556e-12,-1.51192018e-11,1.7939621779246396e-12,-4.4159222999999997e-11,2.136460029282107e-12,-2.3105379000000002e-10,1.7546251446648068e-12,-2.4421052999999996e-10,1.0483704290993732e-12
17,-4.15,-6.067977e-11,1.0995061822472821e-13,-5.9547218e-10,7.161980090449828e-13,-9.234459599999999e-10,7.4044515364232e-12,-1.0142259999999999e-09,2.6926253211317708e-12,-1.1211604e-09,5.6057910399871304e-12,-1.1998701111111112e-09,2.444691057256949e-12,-7.573507499999999e-10,2.875195118013728e-12,-1.0192231e-09,1.6364454922178089e-12,-1.1275756e-09,2.0714195770051054e-12,-1.2657281e-09,5.930842849039145e-13,-1.3570141000000001e-09,1.3335444908213529e-12,-5.952603500000001e-10,1.7447147705140764e-12,-6.6358606e-10,1.0367378347682674e-12,-6.8728767e-10,1.885058484665664e-12,-7.2247861e-10,1.6817256319893582e-12,-7.459922899999999e-10,1.0818700290192015e-12,-4.0149954000000004e-11,8.858899445629485e-12,-1.7671027000000002e-10,4.458030095996436e-12,-2.0899194e-10,2.8460029195768576e-12,-2.2847513e-10,2.5149224542339278e-12,-2.3239362000000006e-10,2.5331860332316686e-12,7.180649999999998e-11,8.852053999313492e-12,-7.0249157e-12,1.7614792543585066e-12,-3.5308231e-11,2.2867077137826117e-12,-2.2244279e-10,1.7975144405789898e-12,-2.3496039e-10,1.2744702459806574e-12
18,-4.1,-5.9653702e-11,1.409097653663505e-13,-5.8361975e-10,8.281105506211117e-13,-9.093830300000001e-10,6.3216850760544815e-12,-1.00006643e-09,2.8502448912347937e-12,-1.1063204e-09,5.902825059579507e-12,-1.185523888888889e-09,2.7241018558393995e-12,-7.470870900000001e-10,2.7051461481942173e-12,-1.00798411e-09,2.2601678652016115e-12,-1.1142269e-09,2.128536710747554e-12,-1.2528273999999997e-09,4.692530490044867e-13,-1.3441840999999999e-09,1.4245418944348357e-12,-5.8634365e-10,1.9418664894502904e-12,-6.527107600000001e-10,1.1322485354550022e-12,-6.77399e-10,1.1120421241122135e-12,-7.1149445e-10,1.9876838622502323e-12,-7.340516299999999e-10,1.0159252883996934e-12,-3.1174950999999996e-11,8.873752314054122e-12,-1.6646362e-10,4.692284412709869e-12,-1.9944037999999997e-10,2.7598543110026664e-12,-2.190367e-10,2.7288564354688957e-12,-2.2241795000000004e-10,2.3197507874446348e-12,7.9176828e-11,8.824204885115802e-12,8.561926500000003e-13,1.84399922518933e-12,-2.6484470999999998e-11,2.203761462889961e-12,-2.1281574999999998e-10,1.182816247035016e-12,-2.2551241999999995e-10,1.2105121882740394e-12
19,-4.05,-5.8415817e-11,1.618209536126266e-13,-5.699913e-10,8.371150336721999e-13,-8.9196059e-10,4.166873193329744e-12,-9.852327600000002e-10,3.1402748815414185e-12,-1.0915665999999997e-09,5.76853356963449e-12,-1.1711872222222224e-09,2.4341625289376055e-12,-7.3571591e-10,2.568392022548353e-12,-9.955905800000002e-10,2.169339886592233e-12,-1.1015838999999998e-09,1.913564895424237e-12,-1.2394725e-09,8.72938305380161e-13,-1.3311837e-09,1.0932231890149351e-12,-5.749869800000001e-10,1.7498156087313875e-12,-6.4054059e-10,1.3878457165297611e-12,-6.656949999999999e-10,9.183243195080938e-13,-6.9912713e-10,1.934416156469443e-12,-7.2245942e-10,7.120915452103103e-13,-2.3439621e-11,8.84914489366859e-12,-1.5653309999999998e-10,4.890651404547251e-12,-1.8937241e-10,2.456976711914461e-12,-2.0867975e-10,2.7380931528803034e-12,-2.114666e-10,2.3346113878759365e-12,8.582640699999999e-11,8.756792991793632e-12,9.184154799999999e-12,1.880624200248182e-12,-1.8746236000000002e-11,2.186302175091174e-12,-2.0411846e-10,1.1471502096238324e-12,-2.1528252e-10,1.0887480628501695e-12
20,-4.0,-5.7507034000000004e-11,5.845395703238577e-13,-5.5847274e-10,7.803251486656052e-13,-8.763457700000001e-10,3.6169566970880376e-12,-9.7086144e-10,2.852006461430263e-12,-1.0761653e-09,5.931189435602256e-12,-1.1537674444444445e-09,2.266856629839408e-12,-7.2392132e-10,2.589507138194445e-12,-9.8141147e-10,1.6559825363843561e-12,-1.0887478e-09,2.074926927869988e-12,-1.2268169e-09,6.48251161973515e-13,-1.3179490999999997e-09,1.2460477073531243e-12,-5.6264169e-10,1.7409385940032482e-12,-6.303364200000001e-10,1.0726359034453373e-12,-6.5328342e-10,1.371971097275735e-12,-6.8695911e-10,2.207163200329781e-12,-7.0992866e-10,9.192050250297765e-13,-1.4149365000000003e-11,8.77979518196242e-12,-1.4632613e-10,4.660128410313389e-12,-1.7897335999999998e-10,2.625923233462852e-12,-1.989942e-10,3.0521410408760595e-12,-2.0072911e-10,2.5361913124387917e-12,9.368264999999999e-11,8.798061561093214e-12,1.72883873e-11,1.7402747659209912e-12,-1.0570142299999999e-11,2.1216257053369665e-12,-1.9629442000000005e-10,1.5689528887637122e-12,-2.0673996e-10,1.3783502893822015e-12
