Frequencia	Intensidade
6.7719E14	1087
6.77096E14	681
6.77002E14	642
6.76908E14	581
6.76815E14	411
6.76721E14	844
6.76628E14	913
6.76534E14	709
6.7644E14	843
6.76347E14	610
6.76253E14	519
6.7616E14	478
6.76066E14	669
6.75973E14	813
6.7588E14	778
6.75786E14	657
6.75693E14	487
6.756E14	529
6.75506E14	568
6.75413E14	921
6.7532E14	898
6.75227E14	731
6.75133E14	562
6.7504E14	482
6.74947E14	312
6.74854E14	585
6.74761E14	897
6.74668E14	787
6.74575E14	552
6.74482E14	561
6.74389E14	545
6.74296E14	567
6.74203E14	952
6.7411E14	928
6.74017E14	576
6.73924E14	576
6.73831E14	359
6.73738E14	576
6.73646E14	792
6.73553E14	822
6.7346E14	771
6.73367E14	826
6.73275E14	631
6.73182E14	540
6.7309E14	494
6.72997E14	727
6.72904E14	785
6.72812E14	572
6.72719E14	449
6.72627E14	662
6.72534E14	540
6.72442E14	1022
6.72349E14	805
6.72257E14	752
6.72165E14	638
6.72072E14	513
6.7198E14	570
6.71888E14	669
6.71795E14	718
6.71703E14	632
6.71611E14	647
6.71519E14	558
6.71427E14	506
6.71334E14	711
6.71242E14	1102
6.7115E14	900
6.71058E14	596
6.70966E14	544
6.70874E14	400
6.70782E14	752
6.7069E14	945
6.70598E14	735
6.70506E14	544
6.70414E14	632
6.70322E14	596
6.70231E14	462
6.70139E14	600
6.70047E14	850
6.69955E14	611
6.69863E14	606
6.69772E14	428
6.6968E14	399
6.69588E14	523
6.69497E14	857
6.69405E14	783
6.69313E14	565
6.69222E14	641
6.6913E14	657
6.69039E14	473
6.68947E14	566
6.68856E14	974
6.68764E14	669
6.68673E14	507
6.68582E14	498
6.6849E14	401
6.68399E14	755
6.68308E14	878
6.68216E14	809
6.68125E14	645
6.68034E14	580
6.67943E14	397
6.67851E14	610
6.6776E14	990
6.67669E14	869
6.67578E14	649
6.67487E14	542
6.67396E14	609
6.67305E14	535
6.67214E14	571
6.67123E14	910
6.67032E14	773
6.66941E14	640
6.6685E14	467
6.66759E14	530
6.66668E14	634
6.66577E14	1226
6.66486E14	774
6.66396E14	854
6.66305E14	606
6.66214E14	346
6.66123E14	417
6.66033E14	705
6.65942E14	1171
6.65851E14	768
6.65761E14	569
6.6567E14	558
6.6558E14	421
6.65489E14	631
6.65398E14	1181
6.65308E14	744
6.65217E14	585
6.65127E14	560
6.65037E14	356
6.64946E14	697
6.64856E14	881
6.64765E14	628
6.64675E14	521
6.64585E14	610
6.64495E14	428
6.64404E14	579
6.64314E14	554
6.64224E14	942
6.64134E14	853
6.64044E14	684
6.63953E14	512
6.63863E14	545
6.63773E14	560
6.63683E14	1006
6.63593E14	738
6.63503E14	637
6.63413E14	635
6.63323E14	504
6.63233E14	511
6.63143E14	587
6.63053E14	1150
6.62964E14	830
6.62874E14	647
6.62784E14	489
6.62694E14	480
6.62604E14	565
6.62515E14	1001
6.62425E14	763
6.62335E14	655
6.62246E14	822
6.62156E14	512
6.62066E14	767
6.61977E14	955
6.61887E14	790
6.61798E14	731
6.61708E14	547
6.61618E14	675
6.61529E14	616
6.6144E14	670
6.6135E14	958
6.61261E14	820
6.61171E14	623
6.61082E14	419
6.60993E14	714
6.60903E14	651
6.60814E14	894
6.60725E14	650
6.60636E14	728
6.60546E14	703
6.60457E14	479
6.60368E14	394
6.60279E14	617
6.6019E14	879
6.60101E14	736
6.60012E14	605
6.59923E14	668
6.59834E14	452
6.59745E14	564
6.59656E14	978
6.59567E14	919
6.59478E14	752
6.59389E14	650
6.593E14	326
6.59211E14	690
6.59122E14	975
6.59033E14	782
6.58945E14	680
6.58856E14	587
6.58767E14	531
6.58678E14	638
6.5859E14	638
6.58501E14	953
6.58413E14	700
6.58324E14	564
6.58235E14	685
6.58147E14	733
6.58058E14	665
6.5797E14	494
6.57881E14	447
6.57793E14	428
6.57704E14	530
6.57616E14	574
6.57527E14	581
6.57439E14	774
6.57351E14	914
6.57262E14	679
6.57174E14	687
6.57086E14	667
6.56998E14	556
6.56909E14	689
6.56821E14	959
6.56733E14	776
6.56645E14	672
6.56557E14	596
6.56469E14	456
6.5638E14	476
6.56292E14	966
6.56204E14	760
6.56116E14	838
6.56028E14	661
6.5594E14	689
6.55852E14	533
6.55765E14	589
6.55677E14	862
6.55589E14	721
6.55501E14	686
6.55413E14	645
6.55325E14	663
6.55237E14	683
6.5515E14	1076
6.55062E14	770
6.54974E14	712
6.54887E14	586
6.54799E14	725
6.54711E14	600
6.54624E14	651
6.54536E14	846
6.54448E14	973
6.54361E14	801
6.54273E14	591
6.54186E14	453
6.54098E14	607
6.54011E14	884
6.53924E14	720
6.53836E14	765
6.53749E14	569
6.53661E14	316
6.53574E14	577
6.53487E14	986
6.53399E14	691
6.53312E14	763
6.53225E14	723
6.53138E14	687
6.53051E14	505
6.52963E14	636
6.52876E14	1181
6.52789E14	936
6.52702E14	721
6.52615E14	559
6.52528E14	581
6.52441E14	669
6.52354E14	1042
6.52267E14	783
6.5218E14	633
6.52093E14	921
6.52006E14	714
6.51919E14	487
6.51832E14	531
6.51745E14	918
6.51659E14	806
6.51572E14	620
6.51485E14	735
6.51398E14	453
6.51311E14	583
6.51225E14	944
6.51138E14	703
6.51051E14	646
6.50965E14	721
6.50878E14	555
6.50792E14	688
6.50705E14	880
6.50618E14	832
6.50532E14	623
6.50445E14	677
6.50359E14	506
6.50272E14	482
6.50186E14	617
6.501E14	1092
6.50013E14	1024
6.49927E14	649
6.49841E14	517
6.49754E14	456
6.49668E14	785
6.49582E14	920
6.49495E14	912
6.49409E14	851
6.49323E14	704
6.49237E14	558
6.49151E14	479
6.49064E14	860
6.48978E14	1101
6.48892E14	837
6.48806E14	644
6.4872E14	481
6.48634E14	460
6.48548E14	632
6.48462E14	1108
6.48376E14	1116
6.4829E14	896
6.48204E14	765
6.48118E14	650
6.48033E14	676
6.47947E14	891
6.47861E14	869
6.47775E14	646
6.47689E14	614
6.47604E14	650
6.47518E14	599
6.47432E14	718
6.47347E14	1115
6.47261E14	1023
6.47175E14	851
6.4709E14	679
6.47004E14	603
6.46918E14	498
6.46833E14	875
6.46747E14	784
6.46662E14	714
6.46576E14	766
6.46491E14	533
6.46406E14	553
6.4632E14	597
6.46235E14	1070
6.46149E14	857
6.46064E14	735
6.45979E14	563
6.45893E14	478
6.45808E14	951
6.45723E14	1169
6.45638E14	920
6.45552E14	815
6.45467E14	718
6.45382E14	645
6.45297E14	673
6.45212E14	983
6.45127E14	999
6.45042E14	709
6.44957E14	511
6.44872E14	576
6.44787E14	573
6.44702E14	676
6.44617E14	996
6.44532E14	713
6.44447E14	687
6.44362E14	557
6.44277E14	543
6.44192E14	669
6.44107E14	1054
6.44023E14	765
6.43938E14	765
6.43853E14	663
6.43768E14	525
6.43684E14	529
6.43599E14	701
6.43514E14	900
6.4343E14	736
6.43345E14	764
6.4326E14	596
6.43176E14	589
6.43091E14	621
6.43007E14	1074
6.42922E14	745
6.42838E14	726
6.42753E14	648
6.42669E14	414
6.42584E14	566
6.425E14	1034
6.42416E14	921
6.42331E14	768
6.42247E14	669
6.42163E14	568
6.42078E14	609
6.41994E14	708
6.4191E14	1061
6.41826E14	920
6.41741E14	698
6.41657E14	634
6.41573E14	576
6.41489E14	698
6.41405E14	912
6.41321E14	815
6.41237E14	802
6.41153E14	786
6.41068E14	646
6.40984E14	501
6.409E14	621
6.40817E14	987
6.40733E14	1087
6.40649E14	779
6.40565E14	680
6.40481E14	506
6.40397E14	675
6.40313E14	1002
6.40229E14	806
6.40146E14	863
6.40062E14	682
6.39978E14	454
6.39894E14	592
6.39811E14	1035
6.39727E14	822
6.39643E14	899
6.3956E14	716
6.39476E14	521
6.39393E14	752
6.39309E14	769
6.39225E14	1000
6.39142E14	924
6.39058E14	754
6.38975E14	575
6.38891E14	609
6.38808E14	575
6.38725E14	1099
6.38641E14	765
6.38558E14	769
6.38475E14	716
6.38391E14	748
6.38308E14	488
6.38225E14	627
6.38141E14	982
6.38058E14	892
6.37975E14	697
6.37892E14	596
6.37809E14	383
6.37725E14	597
6.37642E14	991
6.37559E14	909
6.37476E14	690
6.37393E14	555
6.3731E14	537
6.37227E14	588
6.37144E14	972
6.37061E14	836
6.36978E14	733
6.36895E14	645
6.36812E14	753
6.36729E14	537
6.36646E14	899
6.36564E14	1053
6.36481E14	859
6.36398E14	694
6.36315E14	632
6.36232E14	505
6.3615E14	638
6.36067E14	976
6.35984E14	827
6.35901E14	648
6.35819E14	730
6.35736E14	541
6.35654E14	575
6.35571E14	690
6.35488E14	856
6.35406E14	894
6.35323E14	650
6.35241E14	674
6.35158E14	599
6.35076E14	952
6.34993E14	1199
6.34911E14	892
6.34829E14	693
6.34746E14	631
6.34664E14	483
6.34582E14	668
6.34499E14	969
6.34417E14	910
6.34335E14	781
6.34252E14	720
6.3417E14	614
6.34088E14	625
6.34006E14	786
6.33924E14	1215
6.33842E14	825
6.33759E14	778
6.33677E14	614
6.33595E14	578
6.33513E14	669
6.33431E14	934
6.33349E14	785
6.33267E14	794
6.33185E14	715
6.33103E14	652
6.33021E14	611
6.32939E14	1203
6.32857E14	1251
6.32776E14	807
6.32694E14	538
6.32612E14	554
6.3253E14	543
6.32448E14	686
6.32367E14	1042
6.32285E14	1001
6.32203E14	810
6.32121E14	594
6.3204E14	493
6.31958E14	614
6.31876E14	989
6.31795E14	724
6.31713E14	645
6.31632E14	741
6.3155E14	650
6.31469E14	649
6.31387E14	826
6.31306E14	1053
6.31224E14	789
6.31143E14	694
6.31061E14	592
6.3098E14	633
6.30898E14	614
6.30817E14	1295
6.30736E14	1182
6.30654E14	862
6.30573E14	938
6.30492E14	775
6.30411E14	573
6.30329E14	776
6.30248E14	1067
6.30167E14	814
6.30086E14	834
6.30005E14	689
6.29924E14	524
6.29842E14	699
6.29761E14	1200
6.2968E14	901
6.29599E14	730
6.29518E14	610
6.29437E14	453
6.29356E14	593
6.29275E14	953
6.29194E14	829
6.29113E14	826
6.29032E14	884
6.28952E14	711
6.28871E14	592
6.2879E14	600
6.28709E14	894
6.28628E14	800
6.28548E14	1022
6.28467E14	1088
6.28386E14	1200
6.28305E14	1192
6.28225E14	1302
6.28144E14	1195
6.28063E14	992
6.27983E14	934
6.27902E14	1088
6.27821E14	1284
6.27741E14	1432
6.2766E14	1328
6.2758E14	1135
6.27499E14	963
6.27419E14	1105
6.27338E14	1420
6.27258E14	1284
6.27177E14	1244
6.27097E14	1326
6.27017E14	1282
6.26936E14	1032
6.26856E14	996
6.26776E14	1379
6.26695E14	1402
6.26615E14	1323
6.26535E14	1197
6.26455E14	1040
6.26374E14	986
6.26294E14	1352
6.26214E14	1235
6.26134E14	1360
6.26054E14	1314
6.25974E14	1162
6.25893E14	1144
6.25813E14	1378
6.25733E14	1281
6.25653E14	1378
6.25573E14	1319
6.25493E14	1206
6.25413E14	1079
6.25333E14	1306
6.25253E14	1532
6.25174E14	1432
6.25094E14	1370
6.25014E14	1302
6.24934E14	1146
6.24854E14	1418
6.24774E14	1584
6.24695E14	1415
6.24615E14	1430
6.24535E14	1352
6.24455E14	1224
6.24376E14	1635
6.24296E14	1977
6.24216E14	2325
6.24137E14	1968
6.24057E14	1933
6.23977E14	1935
6.23898E14	1584
6.23818E14	1843
6.23739E14	2623
6.23659E14	2261
6.2358E14	2186
6.235E14	2086
6.23421E14	1485
6.23341E14	1703
6.23262E14	2673
6.23182E14	2079
6.23103E14	1915
6.23024E14	1798
6.22944E14	1809
6.22865E14	1660
6.22786E14	2062
6.22706E14	2488
6.22627E14	2278
6.22548E14	2270
6.22469E14	2390
6.22389E14	1730
6.2231E14	1993
6.22231E14	2556
6.22152E14	2114
6.22073E14	2012
6.21994E14	2141
6.21915E14	2238
6.21836E14	1829
6.21757E14	2613
6.21678E14	2777
6.21599E14	2357
6.2152E14	2397
6.21441E14	2175
6.21362E14	1965
6.21283E14	2095
6.21204E14	2628
6.21125E14	2506
6.21046E14	2455
6.20967E14	2333
6.20888E14	1955
6.2081E14	2318
6.20731E14	2815
6.20652E14	2804
6.20573E14	2577
6.20495E14	2497
6.20416E14	2308
6.20337E14	2014
6.20259E14	2242
6.2018E14	2931
6.20101E14	2674
6.20023E14	2530
6.19944E14	2641
6.19866E14	2167
6.19787E14	2670
6.19709E14	3275
6.1963E14	2882
6.19552E14	2829
6.19473E14	2811
6.19395E14	2384
6.19316E14	2286
6.19238E14	2670
6.19159E14	3144
6.19081E14	2765
6.19003E14	2647
6.18924E14	2572
6.18846E14	2585
6.18768E14	2799
6.1869E14	3141
6.18611E14	2878
6.18533E14	3034
6.18455E14	2876
6.18377E14	2989
6.18299E14	2843
6.1822E14	3135
6.18142E14	2913
6.18064E14	2865
6.17986E14	3127
6.17908E14	2909
6.1783E14	2630
6.17752E14	3060
6.17674E14	3514
6.17596E14	3804
6.17518E14	3256
6.1744E14	3050
6.17362E14	2774
6.17284E14	2924
6.17206E14	3534
6.17129E14	3330
6.17051E14	3467
6.16973E14	3329
6.16895E14	2929
6.16817E14	2849
6.16739E14	2968
6.16662E14	3628
6.16584E14	3464
6.16506E14	3202
6.16429E14	3313
6.16351E14	2974
6.16273E14	3051
6.16196E14	3928
6.16118E14	3528
6.1604E14	3418
6.15963E14	3520
6.15885E14	3157
6.15808E14	3414
6.1573E14	4054
6.15653E14	3665
6.15575E14	3759
6.15498E14	3655
6.1542E14	3487
6.15343E14	2958
6.15266E14	3707
6.15188E14	3848
6.15111E14	3659
6.15033E14	3599
6.14956E14	3398
6.14879E14	3337
6.14802E14	3575
6.14724E14	4218
6.14647E14	3581
6.1457E14	3721
6.14493E14	3678
6.14415E14	3765
6.14338E14	3663
6.14261E14	3881
6.14184E14	4369
6.14107E14	3948
6.1403E14	3845
6.13953E14	3776
6.13876E14	3464
6.13799E14	3940
6.13722E14	4476
6.13645E14	4181
6.13568E14	4032
6.13491E14	3986
6.13414E14	3687
6.13337E14	4145
6.1326E14	4761
6.13183E14	4323
6.13106E14	4134
6.13029E14	4097
6.12953E14	3965
6.12876E14	3976
6.12799E14	4118
6.12722E14	4696
6.12646E14	4508
6.12569E14	4430
6.12492E14	4454
6.12415E14	4013
6.12339E14	4465
6.12262E14	5324
6.12186E14	4508
6.12109E14	4551
6.12032E14	4557
6.11956E14	4134
6.11879E14	4501
6.11803E14	4888
6.11726E14	5430
6.1165E14	4592
6.11573E14	5175
6.11497E14	4766
6.1142E14	4053
6.11344E14	4513
6.11268E14	5243
6.11191E14	5165
6.11115E14	4766
6.11038E14	4861
6.10962E14	4515
6.10886E14	4580
6.1081E14	5496
6.10733E14	5365
6.10657E14	4804
6.10581E14	5187
6.10505E14	4963
6.10428E14	4613
6.10352E14	5304
6.10276E14	5860
6.102E14	5190
6.10124E14	5236
6.10048E14	5371
6.09972E14	4620
6.09896E14	5436
6.0982E14	5980
6.09744E14	5112
6.09668E14	5348
6.09592E14	5274
6.09516E14	5256
6.0944E14	4986
6.09364E14	5667
6.09288E14	6438
6.09212E14	5653
6.09136E14	5448
6.0906E14	5530
6.08984E14	5381
6.08909E14	5670
6.08833E14	6083
6.08757E14	6208
6.08681E14	5942
6.08606E14	5999
6.0853E14	5690
6.08454E14	5818
6.08379E14	6657
