Frequencia	Intensidade
6.22548E14	267
6.22469E14	284
6.22389E14	143
6.2231E14	146
6.22231E14	388
6.22152E14	258
6.22073E14	193
6.21994E14	204
6.21915E14	227
6.21836E14	132
6.21757E14	360
6.21678E14	478
6.21599E14	305
6.2152E14	283
6.21441E14	217
6.21362E14	110
6.21283E14	203
6.21204E14	387
6.21125E14	292
6.21046E14	315
6.20967E14	193
6.20888E14	108
6.2081E14	298
6.20731E14	413
6.20652E14	396
6.20573E14	299
6.20495E14	267
6.20416E14	162
6.20337E14	134
6.20259E14	166
6.2018E14	446
6.20101E14	342
6.20023E14	238
6.19944E14	266
6.19866E14	95
6.19787E14	247
6.19709E14	476
6.1963E14	374
6.19552E14	254
6.19473E14	239
6.19395E14	169
6.19316E14	102
6.19238E14	228
6.19159E14	407
6.19081E14	213
6.19003E14	201
6.18924E14	181
6.18846E14	188
6.18768E14	198
6.1869E14	445
6.18611E14	269
6.18533E14	291
6.18455E14	342
6.18377E14	257
6.18299E14	230
6.1822E14	417
6.18142E14	305
6.18064E14	184
6.17986E14	213
6.17908E14	213
6.1783E14	146
6.17752E14	264
6.17674E14	446
6.17596E14	514
6.17518E14	283
6.1744E14	248
6.17362E14	128
6.17284E14	196
6.17206E14	385
6.17129E14	334
6.17051E14	343
6.16973E14	282
6.16895E14	136
6.16817E14	151
6.16739E14	184
6.16662E14	396
6.16584E14	375
6.16506E14	246
6.16429E14	255
6.16351E14	169
6.16273E14	150
6.16196E14	458
6.16118E14	420
6.1604E14	230
6.15963E14	236
6.15885E14	169
6.15808E14	289
6.1573E14	484
6.15653E14	344
6.15575E14	339
6.15498E14	361
6.1542E14	239
6.15343E14	149
6.15266E14	260
6.15188E14	482
6.15111E14	350
6.15033E14	209
6.14956E14	176
6.14879E14	140
6.14802E14	255
6.14724E14	599
6.14647E14	306
6.1457E14	238
6.14493E14	256
6.14415E14	238
6.14338E14	199
6.14261E14	271
6.14184E14	529
6.14107E14	347
6.1403E14	238
6.13953E14	268
6.13876E14	123
6.13799E14	232
6.13722E14	430
6.13645E14	355
6.13568E14	193
6.13491E14	324
6.13414E14	150
6.13337E14	250
6.1326E14	589
6.13183E14	371
6.13106E14	204
6.13029E14	201
6.12953E14	244
6.12876E14	197
6.12799E14	244
6.12722E14	576
6.12646E14	288
6.12569E14	320
6.12492E14	292
6.12415E14	182
6.12339E14	285
6.12262E14	646
6.12186E14	330
6.12109E14	262
6.12032E14	247
6.11956E14	207
6.11879E14	261
6.11803E14	303
6.11726E14	550
6.1165E14	399
6.11573E14	396
6.11497E14	268
6.1142E14	113
6.11344E14	264
6.11268E14	354
6.11191E14	323
6.11115E14	260
6.11038E14	281
6.10962E14	159
6.10886E14	272
6.1081E14	386
6.10733E14	322
6.10657E14	235
6.10581E14	336
6.10505E14	238
6.10428E14	180
6.10352E14	261
6.10276E14	459
6.102E14	378
6.10124E14	322
6.10048E14	256
6.09972E14	172
6.09896E14	349
6.0982E14	492
6.09744E14	368
6.09668E14	246
6.09592E14	245
6.09516E14	220
6.0944E14	137
6.09364E14	295
6.09288E14	523
6.09212E14	366
6.09136E14	227
6.0906E14	202
6.08984E14	126
6.08909E14	269
6.08833E14	446
6.08757E14	446
6.08681E14	324
6.08606E14	285
6.0853E14	167
6.08454E14	184
6.08379E14	512
6.08303E14	333
6.08227E14	242
6.08152E14	285
6.08076E14	260
6.08E14	156
6.07925E14	286
6.07849E14	483
6.07774E14	329
6.07698E14	344
6.07623E14	306
6.07547E14	130
6.07472E14	231
6.07396E14	515
6.07321E14	458
6.07246E14	253
6.0717E14	410
6.07095E14	292
6.0702E14	161
6.06944E14	191
6.06869E14	459
6.06794E14	425
6.06718E14	260
6.06643E14	213
6.06568E14	153
6.06493E14	469
6.06418E14	562
6.06342E14	317
6.06267E14	329
6.06192E14	287
6.06117E14	187
6.06042E14	218
6.05967E14	594
6.05892E14	311
6.05817E14	267
